iter	Passed	Remaining
0	143	143833
1	145	72368
2	145	48485
3	146	36516
4	147	29283
5	147	24452
6	148	20996
7	148	18418
8	149	16427
9	149	14814
10	150	13498
11	150	12405
12	151	11474
13	151	10677
14	152	9988
15	152	9385
16	153	8847
17	153	8372
18	153	7949
19	154	7567
20	154	7219
21	155	6903
22	155	6616
23	156	6354
24	156	6114
25	157	5911
26	158	5701
27	158	5507
28	159	5328
29	159	5160
30	160	5002
31	160	4854
32	161	4717
33	161	4589
34	162	4466
35	162	4349
36	162	4239
37	163	4136
38	163	4036
39	164	3942
40	164	3852
41	165	3766
42	165	3685
43	166	3607
44	166	3533
45	166	3463
46	167	3394
47	167	3329
48	168	3267
49	168	3206
50	169	3148
51	169	3092
52	170	3039
53	170	2987
54	171	2938
55	171	2890
56	171	2844
57	172	2799
58	172	2756
59	173	2713
60	173	2673
61	174	2634
62	174	2596
63	175	2560
64	175	2523
65	175	2489
66	176	2455
67	176	2423
68	177	2391
69	177	2360
70	178	2330
71	178	2301
72	178	2272
73	179	2245
74	179	2218
75	180	2192
76	180	2167
77	181	2142
78	181	2118
79	182	2094
80	182	2071
81	182	2048
82	183	2023
83	183	2002
84	184	1981
85	184	1960
86	184	1941
87	185	1922
88	186	1904
89	186	1886
90	187	1868
91	187	1851
92	188	1833
93	188	1817
94	189	1800
95	189	1784
96	190	1769
97	190	1754
98	191	1738
99	191	1723
100	191	1708
101	192	1693
102	192	1679
103	193	1665
104	193	1651
105	194	1637
106	194	1624
107	195	1610
108	195	1597
109	195	1585
110	196	1572
111	196	1560
112	197	1548
113	197	1536
114	198	1525
115	198	1513
116	198	1501
117	199	1490
118	199	1479
119	200	1469
120	200	1458
121	201	1447
122	201	1437
123	202	1428
124	202	1418
125	203	1408
126	203	1398
127	203	1389
128	204	1379
129	204	1370
130	205	1361
131	205	1352
132	206	1344
133	206	1335
134	207	1326
135	207	1318
136	207	1309
137	208	1301
138	208	1293
139	209	1285
140	209	1277
141	209	1268
142	210	1260
143	210	1253
144	211	1245
145	211	1238
146	212	1231
147	212	1225
148	213	1218
149	213	1212
150	214	1205
151	214	1198
152	215	1191
153	215	1184
154	216	1178
155	216	1171
156	217	1165
157	217	1159
158	217	1152
159	218	1146
160	218	1139
161	219	1133
162	219	1127
163	220	1121
164	220	1115
165	220	1110
166	221	1104
167	221	1098
168	222	1093
169	222	1087
170	223	1082
171	223	1076
172	224	1071
173	224	1066
174	225	1060
175	225	1055
176	225	1050
177	226	1045
178	226	1040
179	227	1035
180	227	1030
181	228	1025
182	228	1021
183	229	1016
184	229	1011
185	229	1006
186	230	1001
187	230	997
188	231	992
189	231	988
190	232	983
191	232	978
192	233	974
193	233	970
194	233	965
195	234	961
196	234	957
197	235	953
198	235	949
199	236	945
200	236	941
201	237	936
202	237	932
203	238	928
204	238	924
205	238	920
206	239	917
207	239	913
208	240	909
209	240	905
210	241	901
211	241	898
212	242	895
213	242	891
214	243	888
215	243	884
216	244	880
217	244	877
218	245	873
219	245	870
220	245	866
221	246	863
222	246	859
223	247	856
224	247	853
225	248	850
226	248	846
227	249	843
228	249	840
229	250	837
230	250	833
231	250	830
232	251	827
233	251	824
234	252	821
235	252	818
236	253	815
237	253	812
238	254	809
239	254	806
240	255	803
241	255	800
242	256	798
243	256	795
244	257	793
245	258	790
246	258	787
247	258	784
248	259	782
249	259	779
250	260	776
251	260	773
252	261	770
253	261	768
254	261	765
255	262	762
256	262	759
257	263	757
258	263	754
259	264	752
260	264	749
261	265	746
262	265	744
263	265	741
264	266	738
265	266	736
266	267	734
267	267	731
268	268	729
269	268	727
270	269	724
271	269	722
272	271	721
273	271	719
274	272	717
275	272	714
276	272	712
277	273	709
278	273	707
279	274	705
280	274	702
281	275	700
282	275	698
283	275	695
284	276	693
285	276	691
286	277	688
287	277	686
288	278	684
289	278	682
290	279	680
291	279	677
292	280	675
293	280	673
294	281	671
295	281	669
296	282	668
297	282	666
298	283	664
299	283	662
300	284	660
301	284	658
302	285	656
303	285	654
304	286	652
305	286	650
306	287	648
307	287	646
308	288	644
