iter	Passed	Remaining
0	0	696
1	1	617
2	1	603
3	2	583
4	2	585
5	3	578
6	4	571
7	4	574
8	5	577
9	5	574
10	6	577
11	7	580
12	7	576
13	8	576
14	8	577
15	9	576
16	9	577
17	10	575
18	11	572
19	11	572
20	12	569
21	12	574
22	13	580
23	14	581
24	14	578
25	15	577
26	15	574
27	16	571
28	16	568
29	17	565
30	17	562
31	18	560
32	19	560
33	19	558
34	20	555
35	20	554
36	21	554
37	21	554
38	22	553
39	23	552
40	23	551
41	24	551
42	24	550
43	25	549
44	25	548
45	26	547
46	26	545
47	27	544
48	28	546
49	28	548
50	29	548
51	29	546
52	30	545
53	31	545
54	31	544
55	32	543
56	32	542
57	33	541
58	33	540
59	34	538
60	34	536
61	35	535
62	35	534
63	36	533
64	37	532
65	37	531
66	38	530
67	38	530
68	39	529
69	39	527
70	40	526
71	40	526
72	41	524
73	41	523
74	42	523
75	43	524
76	43	524
77	44	523
78	44	522
79	45	522
80	46	522
81	46	521
82	46	518
83	47	517
84	48	517
85	48	516
86	49	515
87	49	514
88	50	513
89	50	512
90	51	511
91	51	510
92	52	509
93	52	508
94	53	507
95	54	513
96	55	512
97	55	512
98	56	511
99	57	513
100	57	514
101	58	514
102	59	517
103	59	516
104	60	516
105	61	515
106	61	515
107	62	514
108	62	514
109	63	513
110	64	513
111	64	511
112	65	510
113	65	510
114	66	509
115	66	509
116	67	507
117	67	506
118	68	506
119	68	505
120	69	506
121	70	505
122	70	506
123	72	510
124	72	510
125	73	510
126	74	512
127	75	511
128	75	511
129	76	512
130	77	511
131	77	511
132	78	509
133	78	508
134	79	507
135	79	506
136	80	505
137	80	504
138	81	503
139	81	502
140	82	501
141	82	499
142	83	498
143	83	497
144	84	495
145	84	494
146	85	493
147	85	492
148	86	495
149	87	495
150	88	495
151	88	494
152	89	493
153	89	493
154	90	492
155	90	491
156	91	490
157	91	490
158	92	489
159	93	489
160	93	487
161	94	487
162	94	486
163	95	486
164	96	485
165	96	485
166	97	485
167	97	485
168	98	485
169	99	484
170	99	484
171	100	484
172	101	485
173	102	485
174	102	484
175	103	484
176	103	483
177	104	482
178	105	482
179	105	481
180	106	480
181	106	480
182	107	479
183	107	478
184	108	478
185	109	477
186	109	477
187	110	477
188	111	477
189	111	477
190	112	476
191	113	476
192	113	475
193	114	474
194	115	475
195	115	475
196	116	474
197	117	474
198	117	473
199	118	472
200	118	471
201	119	470
202	119	470
203	120	469
204	120	468
205	121	467
206	121	466
207	122	466
208	122	465
209	123	464
210	124	465
211	125	465
212	125	465
213	126	464
214	126	463
215	127	462
216	127	461
217	128	460
218	129	460
219	129	460
220	130	459
221	130	458
222	131	458
223	132	457
224	132	456
225	133	456
226	133	455
227	134	455
228	134	454
229	135	453
230	136	452
231	136	452
232	137	452
233	138	451
234	138	452
235	139	451
236	140	451
237	140	450
238	141	450
239	142	449
240	142	449
241	143	448
242	143	447
243	144	447
244	144	446
245	145	446
246	146	446
247	146	445
248	147	444
249	147	443
250	148	443
251	148	442
252	149	441
253	150	440
254	150	440
255	151	439
256	151	438
257	152	437
258	152	436
259	153	435
260	153	434
261	153	433
262	154	433
263	154	432
264	155	431
265	155	430
266	156	429
267	156	428
268	157	428
269	158	427
270	158	427
271	159	426
272	159	425
273	160	425
274	161	424
275	161	423
276	162	423
277	162	422
278	163	422
279	163	421
280	164	421
281	165	420
282	165	420
283	166	419
284	167	419
285	167	419
286	168	418
287	168	417
288	169	417
289	170	416
290	170	415
291	171	414
292	172	415
293	172	415
294	173	415
295	174	414
296	174	414
297	175	413
298	176	412
299	176	412
300	177	411
301	177	411
302	178	410
303	178	409
304	179	409
305	180	408
306	180	407
307	181	406
308	181	406
309	182	405
310	182	404
311	183	403
312	183	402
313	184	402
314	184	401
315	185	400
316	185	400
317	186	399
318	186	399
319	187	398
320	188	398
321	188	397
322	189	397
323	190	397
324	190	396
325	191	396
326	192	395
327	193	395
328	193	394
329	194	394
330	194	393
331	195	392
332	195	391
333	196	391
334	196	390
335	197	390
336	198	389
337	198	388
338	199	388
339	199	387
340	200	386
341	200	386
342	201	385
343	201	384
344	202	383
345	202	383
346	203	383
347	204	382
348	204	381
349	205	381
350	205	380
351	206	380
352	207	379
353	207	378
354	208	377
355	208	377
356	209	376
357	209	376
358	210	375
359	210	374
360	211	373
361	211	373
362	212	372
363	212	371
364	213	371
365	213	370
366	214	369
367	214	369
368	215	368
369	215	367
370	216	367
371	217	366
372	217	366
373	218	365
374	218	364
375	219	364
376	220	363
377	220	363
378	221	362
379	221	361
380	222	361
381	222	360
382	223	359
383	223	359
384	224	358
385	224	357
386	225	357
387	225	356
388	226	355
389	226	354
390	227	354
391	227	353
392	228	352
393	228	351
394	229	351
395	229	350
396	230	349
397	230	348
398	231	348
399	231	347
400	232	347
401	234	348
402	234	347
403	235	347
404	235	346
405	236	345
406	236	345
407	237	344
408	237	343
409	238	342
410	238	342
411	239	341
412	239	340
413	240	340
414	241	339
415	241	338
416	242	338
417	242	337
418	243	337
419	243	336
420	244	335
421	244	334
422	245	334
423	245	333
424	246	333
425	246	332
426	247	332
427	247	331
428	248	330
429	248	329
430	249	329
431	249	328
432	250	328
433	250	327
434	251	326
435	251	325
436	252	325
437	252	324
438	253	323
439	253	323
440	254	322
441	254	321
442	255	321
443	255	320
444	256	319
445	257	319
446	257	318
447	258	318
448	258	317
449	259	316
450	259	316
451	260	316
452	261	315
453	262	315
454	262	314
455	263	314
456	263	313
457	264	312
458	264	312
459	265	311
460	265	310
461	266	310
462	266	309
463	267	308
464	267	308
465	268	307
466	268	306
467	269	306
468	270	305
469	270	305
470	271	304
471	271	303
472	272	303
473	272	302
474	273	301
475	273	301
476	274	300
477	274	299
478	275	299
479	276	299
480	276	298
481	277	297
482	277	297
483	278	296
484	278	295
485	279	295
486	279	294
487	280	294
488	281	293
489	281	293
490	282	292
491	282	291
492	283	291
493	283	290
494	284	289
495	284	289
496	285	288
497	285	287
498	286	287
499	286	286
500	287	286
501	287	285
502	288	285
503	289	284
504	289	283
505	290	283
506	290	282
507	291	282
508	291	281
509	292	280
510	292	280
511	293	279
512	294	279
513	294	278
514	294	277
515	295	277
516	295	276
517	296	275
518	296	275
519	297	274
520	297	273
521	298	273
522	298	272
523	299	271
524	299	271
525	300	270
526	301	270
527	302	270
528	302	269
529	303	269
530	304	268
531	305	268
532	305	267
533	306	267
534	306	266
535	307	265
536	307	265
537	308	264
